# 2585 empty items (Special:Export dump). QID	lost	label	url
Q110194166	5	RAMSE	https://www.wikidata.org/wiki/Q110194166
Q141015551	5		https://www.wikidata.org/wiki/Q141015551
Q24886604	5		https://www.wikidata.org/wiki/Q24886604
Q110852699	5	IMOCA 60 Estrella Damm	https://www.wikidata.org/wiki/Q110852699
Q140605123	5		https://www.wikidata.org/wiki/Q140605123
Q138795518	5		https://www.wikidata.org/wiki/Q138795518
Q25395692	4		https://www.wikidata.org/wiki/Q25395692
Q63459658	4	Niebelungenstraße	https://www.wikidata.org/wiki/Q63459658
Q118945361	4	Pemain Terbaik Tahunan Chelsea F.C.	https://www.wikidata.org/wiki/Q118945361
Q128545498	4	Grotte d'Aliou	https://www.wikidata.org/wiki/Q128545498
Q141067464	4		https://www.wikidata.org/wiki/Q141067464
Q25858204	4		https://www.wikidata.org/wiki/Q25858204
Q107972615	4	Varvinay	https://www.wikidata.org/wiki/Q107972615
Q134488470	4		https://www.wikidata.org/wiki/Q134488470
Q28707034	4	Джерело № 1	https://www.wikidata.org/wiki/Q28707034
Q88837786	4	Mais Khaskiyyi	https://www.wikidata.org/wiki/Q88837786
Q123347403	4		https://www.wikidata.org/wiki/Q123347403
Q140285257	4		https://www.wikidata.org/wiki/Q140285257
Q138296374	4	Onderzeebootloods, Rotterdam	https://www.wikidata.org/wiki/Q138296374
Q65236295	4	Gemeinde in Liechtenstein	https://www.wikidata.org/wiki/Q65236295
Q140446804	4		https://www.wikidata.org/wiki/Q140446804
Q56222836	3	تصنيف:تاريخ منطقة قشتالة وليون	https://www.wikidata.org/wiki/Q56222836
Q136652787	3		https://www.wikidata.org/wiki/Q136652787
Q133567486	3	Shoot Her Down! (EP)	https://www.wikidata.org/wiki/Q133567486
Q94125192	3	Gua Inyiak Lasun	https://www.wikidata.org/wiki/Q94125192
Q108175309	3	list of Mayans M.C. episodes	https://www.wikidata.org/wiki/Q108175309
Q140033364	3		https://www.wikidata.org/wiki/Q140033364
Q99268594	3	Santiago Yancuitlalpan	https://www.wikidata.org/wiki/Q99268594
Q117833854	3	Aku	https://www.wikidata.org/wiki/Q117833854
Q117833905	3	Kenangan	https://www.wikidata.org/wiki/Q117833905
Q32763669	3	Категорія:Шаблони, засновані на модулі Citation/CS1	https://www.wikidata.org/wiki/Q32763669
Q131547573	3	민지운	https://www.wikidata.org/wiki/Q131547573
Q118726249	3	Marvdasht	https://www.wikidata.org/wiki/Q118726249
Q119860743	3	Nidai Seven	https://www.wikidata.org/wiki/Q119860743
Q131783232	3	Nagore Dargah Kalifa	https://www.wikidata.org/wiki/Q131783232
Q135065036	3	Mukhamed Berkhamov	https://www.wikidata.org/wiki/Q135065036
Q139971007	3	Զմմառի Սուրբ Տիրամօր վանք	https://www.wikidata.org/wiki/Q139971007
Q123419255	3	Le Moyne College athletics	https://www.wikidata.org/wiki/Q123419255
Q83188570	3	Wisbech Town War Memorial	https://www.wikidata.org/wiki/Q83188570
Q131188593	3	키다리스튜디오	https://www.wikidata.org/wiki/Q131188593
Q139025502	3		https://www.wikidata.org/wiki/Q139025502
Q15822738	3	Kanun	https://www.wikidata.org/wiki/Q15822738
Q140505555	3	Egilsstaðir	https://www.wikidata.org/wiki/Q140505555
Q135542511	3	서울로보틱스	https://www.wikidata.org/wiki/Q135542511
Q139502566	3		https://www.wikidata.org/wiki/Q139502566
Q109363238	3		https://www.wikidata.org/wiki/Q109363238
Q12775127	2	Reaktivita	https://www.wikidata.org/wiki/Q12775127
Q12774687	2		https://www.wikidata.org/wiki/Q12774687
Q109431551	2	Rumpun bangsa Indonesia	https://www.wikidata.org/wiki/Q109431551
Q141012333	2		https://www.wikidata.org/wiki/Q141012333
Q52595715	2	Potok Sevnik	https://www.wikidata.org/wiki/Q52595715
Q140891464	2		https://www.wikidata.org/wiki/Q140891464
Q98540393	2	Massey Ferguson MF 148	https://www.wikidata.org/wiki/Q98540393
Q140196856	2		https://www.wikidata.org/wiki/Q140196856
Q28725641	2	Suku Lage	https://www.wikidata.org/wiki/Q28725641
Q139717734	2		https://www.wikidata.org/wiki/Q139717734
Q31802395	2	محمود طالبی	https://www.wikidata.org/wiki/Q31802395
Q107292035	2	Tallsjöbergen	https://www.wikidata.org/wiki/Q107292035
Q140085966	2	magnetically controlled shape memory alloy linear actuator	https://www.wikidata.org/wiki/Q140085966
Q141102171	2		https://www.wikidata.org/wiki/Q141102171
Q96385882	2	Kia Awyu	https://www.wikidata.org/wiki/Q96385882
Q139917087	2	Chrysis bipartita	https://www.wikidata.org/wiki/Q139917087
Q140680413	2		https://www.wikidata.org/wiki/Q140680413
Q20515351	2	Վիլանովա դե լա Ագուդա	https://www.wikidata.org/wiki/Q20515351
Q20515273	2	Սյունենց	https://www.wikidata.org/wiki/Q20515273
Q22074690	2		https://www.wikidata.org/wiki/Q22074690
Q139963138	2		https://www.wikidata.org/wiki/Q139963138
Q140590472	2		https://www.wikidata.org/wiki/Q140590472
Q101558193	2	Tsung-Han S Hsieh	https://www.wikidata.org/wiki/Q101558193
Q115530656	2	黒津敏行	https://www.wikidata.org/wiki/Q115530656
Q123550400	1	Pierre Nguyên	https://www.wikidata.org/wiki/Q123550400
Q22348531	1	1940s in fashion	https://www.wikidata.org/wiki/Q22348531
Q28488337	1		https://www.wikidata.org/wiki/Q28488337
Q20853235	1		https://www.wikidata.org/wiki/Q20853235
Q15176622	1		https://www.wikidata.org/wiki/Q15176622
Q21994209	1	Вароны	https://www.wikidata.org/wiki/Q21994209
Q16071143	1		https://www.wikidata.org/wiki/Q16071143
Q20902085	1		https://www.wikidata.org/wiki/Q20902085
Q21490916	1		https://www.wikidata.org/wiki/Q21490916
Q21490917	1		https://www.wikidata.org/wiki/Q21490917
Q15318935	1		https://www.wikidata.org/wiki/Q15318935
Q117319099	1	SBS GOLF 2	https://www.wikidata.org/wiki/Q117319099
Q15074768	1		https://www.wikidata.org/wiki/Q15074768
Q15088387	1		https://www.wikidata.org/wiki/Q15088387
Q15118326	1		https://www.wikidata.org/wiki/Q15118326
Q15205266	1		https://www.wikidata.org/wiki/Q15205266
Q25334064	1		https://www.wikidata.org/wiki/Q25334064
Q20161317	1		https://www.wikidata.org/wiki/Q20161317
Q28968506	1	Mq’invari Q’oruldashi	https://www.wikidata.org/wiki/Q28968506
Q25385220	1	liste des communes de Zélande	https://www.wikidata.org/wiki/Q25385220
Q25385229	1	liste des communes de la province de l'Overijssel	https://www.wikidata.org/wiki/Q25385229
Q25385197	1	liste des communes de la province d'Utrecht	https://www.wikidata.org/wiki/Q25385197
Q25385364	1	liste des communes de la province de Groningue	https://www.wikidata.org/wiki/Q25385364
Q65687058	1	تصنيف:العلاقات الأسترالية البربادوسية	https://www.wikidata.org/wiki/Q65687058
Q65687315	1	تصنيف:العلاقات الأمريكية البربادوسية	https://www.wikidata.org/wiki/Q65687315
Q65688388	1	تصنيف:العلاقات البربادوسية الغيانية	https://www.wikidata.org/wiki/Q65688388
Q65688390	1	تصنيف:العلاقات البربادوسية الكندية	https://www.wikidata.org/wiki/Q65688390
Q65688391	1	تصنيف:العلاقات البربادوسية الغرينادية	https://www.wikidata.org/wiki/Q65688391
Q61025900	1	تصنيف:أشخاص من مقاطعة هينيبين (منيسوتا)	https://www.wikidata.org/wiki/Q61025900
Q17620848	1		https://www.wikidata.org/wiki/Q17620848
Q41801723	1		https://www.wikidata.org/wiki/Q41801723
Q49656577	1		https://www.wikidata.org/wiki/Q49656577
Q97402199	1	Catégorie:Docteur honoris causa de l'université Toulouse-I-Capitole	https://www.wikidata.org/wiki/Q97402199
Q22894120	1		https://www.wikidata.org/wiki/Q22894120
Q106324563	1		https://www.wikidata.org/wiki/Q106324563
Q110184750	1	Up (שיר של אינה)	https://www.wikidata.org/wiki/Q110184750
Q61316216	1		https://www.wikidata.org/wiki/Q61316216
Q86359305	1	Категорія:Старшини (СРСР)	https://www.wikidata.org/wiki/Q86359305
Q139385819	1		https://www.wikidata.org/wiki/Q139385819
Q33115991	1	Category:大學校友	https://www.wikidata.org/wiki/Q33115991
Q56353344	1	nonacog gamma	https://www.wikidata.org/wiki/Q56353344
Q28746364	1	phone standard VoIP	https://www.wikidata.org/wiki/Q28746364
Q64668732	1		https://www.wikidata.org/wiki/Q64668732
Q13090899	1	Vidara (jezero)	https://www.wikidata.org/wiki/Q13090899
Q55405077	1	साँचा:ज्ञानसन्दूक झरने	https://www.wikidata.org/wiki/Q55405077
Q111180231	1	Wettermann	https://www.wikidata.org/wiki/Q111180231
Q125661640	1	plateau de jeu	https://www.wikidata.org/wiki/Q125661640
Q140085953	1	inchworm linear motor of magnetically controlled shape memory alloy	https://www.wikidata.org/wiki/Q140085953
Q94606964	1	ويكيبيديا:الميدان/أرشيف/تقنية	https://www.wikidata.org/wiki/Q94606964
Q97352549	1	乡	https://www.wikidata.org/wiki/Q97352549
Q98215440	1	2. Deutsche Volleyball-Bundesliga Süd 2003/04	https://www.wikidata.org/wiki/Q98215440
Q115820012	1	Nothin' But a Good Time	https://www.wikidata.org/wiki/Q115820012
Q116786127	1	Eski-Hamam	https://www.wikidata.org/wiki/Q116786127
Q124250379	1	list of World Heritage Sites in Dominican Republic	https://www.wikidata.org/wiki/Q124250379
Q137845643	1	Janoșik	https://www.wikidata.org/wiki/Q137845643
Q23994896	1		https://www.wikidata.org/wiki/Q23994896
Q34367910	1	Kategoria:Będzin	https://www.wikidata.org/wiki/Q34367910
Q48843470	1	Jarmark Dominikański w Choroszczy	https://www.wikidata.org/wiki/Q48843470
Q59753778	1	Gastauer	https://www.wikidata.org/wiki/Q59753778
Q61354714	1	Auratus	https://www.wikidata.org/wiki/Q61354714
Q98055644	1	2. Deutsche Volleyball-Bundesliga Süd 1996/97	https://www.wikidata.org/wiki/Q98055644
Q98132730	1	2. Deutsche Volleyball-Bundesliga Süd 1999/2000	https://www.wikidata.org/wiki/Q98132730
Q114349419	1	Список самых больших серий побед в боксе	https://www.wikidata.org/wiki/Q114349419
Q137436527	1	تصنيف:منظمات مقرها في كانتون جنيف	https://www.wikidata.org/wiki/Q137436527
Q140246960	1		https://www.wikidata.org/wiki/Q140246960
Q140982884	1		https://www.wikidata.org/wiki/Q140982884
Q30928426	1		https://www.wikidata.org/wiki/Q30928426
Q47475574	1	Kategorie:Deutsche Landespolitik	https://www.wikidata.org/wiki/Q47475574
Q56278592	1	深山鶯	https://www.wikidata.org/wiki/Q56278592
Q106424203	1	قالب:صفحة مستخدم مخالفة/إزالة القالب	https://www.wikidata.org/wiki/Q106424203
Q125379059	1	Krini, Thassos	https://www.wikidata.org/wiki/Q125379059
Q126871880	1	تصنيف:يسوعيون حسب القرن	https://www.wikidata.org/wiki/Q126871880
Q130294293	1	Rührberg (Grenzach-Wyhlen)	https://www.wikidata.org/wiki/Q130294293
Q135350545	1	The Institute for Stem Cell Science and Regenerative Medicine	https://www.wikidata.org/wiki/Q135350545
Q141085815	1	Spirit Records	https://www.wikidata.org/wiki/Q141085815
Q141106372	1	深圳市拍拍通信息科技有限公司	https://www.wikidata.org/wiki/Q141106372
Q19454255	1	الشماريخ في علم التاريخ	https://www.wikidata.org/wiki/Q19454255
Q30584237	1	Table of Wikimedia projects	https://www.wikidata.org/wiki/Q30584237
Q65291292	1	ஊதியூர்	https://www.wikidata.org/wiki/Q65291292
Q110721508	1	Hồng Đăng	https://www.wikidata.org/wiki/Q110721508
Q110732585	1	Petting, Germany	https://www.wikidata.org/wiki/Q110732585
Q121289630	1	Militärorden	https://www.wikidata.org/wiki/Q121289630
Q125909155	1	matchs de football USM Alger – RS Berkane	https://www.wikidata.org/wiki/Q125909155
Q130338278	1	Deutsche Poolbillard-Meisterschaft 2007	https://www.wikidata.org/wiki/Q130338278
Q138575087	1	Eigenumsatz	https://www.wikidata.org/wiki/Q138575087
Q139783046	1		https://www.wikidata.org/wiki/Q139783046
Q141065909	1	Déna	https://www.wikidata.org/wiki/Q141065909
Q141098791	1	CRA Jovem	https://www.wikidata.org/wiki/Q141098791
Q16698297	1	Скиритида	https://www.wikidata.org/wiki/Q16698297
Q30750342	1	BASE Fatality List	https://www.wikidata.org/wiki/Q30750342
Q31326314	1	मैथी भाषा	https://www.wikidata.org/wiki/Q31326314
Q65134915	1	Épopée vers l'Ouest - La Légende du singe roi	https://www.wikidata.org/wiki/Q65134915
Q65160932	1	Bão Soulik	https://www.wikidata.org/wiki/Q65160932
Q85975406	1	Tavuk yağı	https://www.wikidata.org/wiki/Q85975406
Q86686490	1	70 Armia	https://www.wikidata.org/wiki/Q86686490
Q96315212	1	Baseball teams in Mississippi (state)	https://www.wikidata.org/wiki/Q96315212
Q97213590	1	Bebek Badem Ezmecisi	https://www.wikidata.org/wiki/Q97213590
Q97232230	1	굿데이터	https://www.wikidata.org/wiki/Q97232230
Q97307742	1	Wedang cor	https://www.wikidata.org/wiki/Q97307742
Q97307843	1	Mundar	https://www.wikidata.org/wiki/Q97307843
Q97374119	1	Daun Bungkus	https://www.wikidata.org/wiki/Q97374119
Q98380979	1	Skelly Field at H. A. Chapman Stadium	https://www.wikidata.org/wiki/Q98380979
Q108131092	1	福井平野東縁断層帯	https://www.wikidata.org/wiki/Q108131092
Q123367354	1	Louisiana Tech Lady Techsters women's basketball	https://www.wikidata.org/wiki/Q123367354
Q131850506	1	Grabovac	https://www.wikidata.org/wiki/Q131850506
Q131914010	1	Nijhawan	https://www.wikidata.org/wiki/Q131914010
Q139674746	1	Vallon du Charmaix	https://www.wikidata.org/wiki/Q139674746
Q139715219	1	Ascha	https://www.wikidata.org/wiki/Q139715219
Q141102649	1		https://www.wikidata.org/wiki/Q141102649
Q124057836	1	Bizkaia-Durango in 2015	https://www.wikidata.org/wiki/Q124057836
Q124058102	1	Dimension Data in 2018	https://www.wikidata.org/wiki/Q124058102
Q124058332	1	Health Mate-Cyclelive Team in 2019	https://www.wikidata.org/wiki/Q124058332
Q124058617	1	MCipollini in 2013	https://www.wikidata.org/wiki/Q124058617
Q124068698	1	Parkhotel Valkenburg Women in 2014	https://www.wikidata.org/wiki/Q124068698
Q124068702	1	Poitou-Charentes.Futuroscope.86 in 2016	https://www.wikidata.org/wiki/Q124068702
Q124068764	1	Rabo Liv Women in 2013	https://www.wikidata.org/wiki/Q124068764
Q124068767	1	Rabo Liv Women in 2015	https://www.wikidata.org/wiki/Q124068767
Q124068769	1	Rabo Liv Women in 2016	https://www.wikidata.org/wiki/Q124068769
Q124069093	1	Team Virtu Women in 2018	https://www.wikidata.org/wiki/Q124069093
Q124069096	1	Team VéloCONCEPT Women in 2017	https://www.wikidata.org/wiki/Q124069096
Q124497087	1	ASC2NT	https://www.wikidata.org/wiki/Q124497087
Q141069639	1	Balladex	https://www.wikidata.org/wiki/Q141069639
Q141103862	0	Skazz	https://www.wikidata.org/wiki/Q141103862
Q135920568	0	BingoPlus	https://www.wikidata.org/wiki/Q135920568
Q135652259	0	Yaplu-k by Semafor	https://www.wikidata.org/wiki/Q135652259
Q141105091	0	Rudra Parmar	https://www.wikidata.org/wiki/Q141105091
Q141077598	0	Selah Beauty	https://www.wikidata.org/wiki/Q141077598
Q97286531	0	TOGG Sedan	https://www.wikidata.org/wiki/Q97286531
Q98270250	0	The Nuclear Power Plants Authority	https://www.wikidata.org/wiki/Q98270250
Q107126045	0	Institut de recerques envers la Cultura (IREC)	https://www.wikidata.org/wiki/Q107126045
Q136548412	0	Xataka Android	https://www.wikidata.org/wiki/Q136548412
Q137825937	0	Today.ua	https://www.wikidata.org/wiki/Q137825937
Q138732494	0	Saki Shingū	https://www.wikidata.org/wiki/Q138732494
Q116371765	0	Premiership of Anwar Ibrahim	https://www.wikidata.org/wiki/Q116371765
Q117309188	0	Dengonomics	https://www.wikidata.org/wiki/Q117309188
Q124172827	0	Badgasse (Steyr)	https://www.wikidata.org/wiki/Q124172827
Q127947373	0	Mission Populaire Libre (Krefeld)	https://www.wikidata.org/wiki/Q127947373
Q139737482	0		https://www.wikidata.org/wiki/Q139737482
Q140301791	0	Wabingen	https://www.wikidata.org/wiki/Q140301791
Q141086009	0	Visibility100x	https://www.wikidata.org/wiki/Q141086009
Q48928054	0	Xingye (era)	https://www.wikidata.org/wiki/Q48928054
Q127698834	0	Genkou	https://www.wikidata.org/wiki/Q127698834
Q131983483	0	Kōchi script	https://www.wikidata.org/wiki/Q131983483
Q136528097	0	Tajiks of bamyan	https://www.wikidata.org/wiki/Q136528097
Q141064575	0	TraPay	https://www.wikidata.org/wiki/Q141064575
Q27478414	0	Harvard Business School Working Paper	https://www.wikidata.org/wiki/Q27478414
Q103842855	0	临江仙·夜登小阁，忆洛中旧游	https://www.wikidata.org/wiki/Q103842855
Q112065625	0	Chamaegerinae	https://www.wikidata.org/wiki/Q112065625
Q138866420	0	Yuina Inoue	https://www.wikidata.org/wiki/Q138866420
Q140387961	0	International Institute of Tropical Agriculture,vulcanizing unit	https://www.wikidata.org/wiki/Q140387961
Q97058839	0	نوای اساتید	https://www.wikidata.org/wiki/Q97058839
Q118957682	0	TAI Anka-3	https://www.wikidata.org/wiki/Q118957682
Q131983495	0	Pacumol alphabet	https://www.wikidata.org/wiki/Q131983495
Q131983496	0	Pali script	https://www.wikidata.org/wiki/Q131983496
Q131983499	0	Poirek Meyek alphabet	https://www.wikidata.org/wiki/Q131983499
Q131983502	0	Purva Licchavi script	https://www.wikidata.org/wiki/Q131983502
Q137008711	0	李常赫	https://www.wikidata.org/wiki/Q137008711
Q138308022	0	Tomás Pinales Figuereo	https://www.wikidata.org/wiki/Q138308022
Q138607485	0	xerocline	https://www.wikidata.org/wiki/Q138607485
Q138779132	0	ആ	https://www.wikidata.org/wiki/Q138779132
Q140089408	0	Baloch of Iran	https://www.wikidata.org/wiki/Q140089408
Q141049216	0	Voltebyk	https://www.wikidata.org/wiki/Q141049216
Q141103357	0	Shieldone.ch	https://www.wikidata.org/wiki/Q141103357
Q38254053	0	Operational Amplifiers	https://www.wikidata.org/wiki/Q38254053
Q81410947	0	Maharashtra shahid jawan	https://www.wikidata.org/wiki/Q81410947
Q96280016	0	clip	https://www.wikidata.org/wiki/Q96280016
Q121872127	0	حه‌وت‌کانی	https://www.wikidata.org/wiki/Q121872127
Q123779165	0	Viktors Dobrecovs	https://www.wikidata.org/wiki/Q123779165
Q131983455	0	Adi Ganga script	https://www.wikidata.org/wiki/Q131983455
Q131983481	0	Kistna script	https://www.wikidata.org/wiki/Q131983481
Q131983492	0	Narbada script	https://www.wikidata.org/wiki/Q131983492
Q136480652	0	Policy:Privacy policy	https://www.wikidata.org/wiki/Q136480652
Q136485871	0	Castelo de Somoza, O Incio	https://www.wikidata.org/wiki/Q136485871
Q138866330	0	Ramu Fukuno	https://www.wikidata.org/wiki/Q138866330
Q140172522	0	simple lenses	https://www.wikidata.org/wiki/Q140172522
Q140181552	0	cylindrical lenses	https://www.wikidata.org/wiki/Q140181552
Q140571054	0		https://www.wikidata.org/wiki/Q140571054
Q140618251	0	Zornitsa Stoyanova	https://www.wikidata.org/wiki/Q140618251
Q140936160	0	The Crow (Cómic)	https://www.wikidata.org/wiki/Q140936160
Q141096763	0	The Implementation of Personalized Precision Medicine	https://www.wikidata.org/wiki/Q141096763
Q14902293	0		https://www.wikidata.org/wiki/Q14902293
Q31502235	0	చంద్రగిరి మండలం	https://www.wikidata.org/wiki/Q31502235
Q32128518	0	Hok-kiàn-oē	https://www.wikidata.org/wiki/Q32128518
Q83613140	0	UA銀河戲院	https://www.wikidata.org/wiki/Q83613140
Q91917068	0	Matiabag Hawakhana	https://www.wikidata.org/wiki/Q91917068
Q105712311	0	Perugia Big Band	https://www.wikidata.org/wiki/Q105712311
Q109079142	0	Du'a al-Sabah	https://www.wikidata.org/wiki/Q109079142
Q122965769	0	JDS Inazuma (DE-203)	https://www.wikidata.org/wiki/Q122965769
Q122965801	0	JDS Ikazuchi (1956)	https://www.wikidata.org/wiki/Q122965801
Q125358956	0	Vlasta (magazine)	https://www.wikidata.org/wiki/Q125358956
Q125363368	0		https://www.wikidata.org/wiki/Q125363368
Q126916007	0	USM Alger supporters	https://www.wikidata.org/wiki/Q126916007
Q131909714	0	포털:철학	https://www.wikidata.org/wiki/Q131909714
Q131983456	0	Anshu script	https://www.wikidata.org/wiki/Q131983456
Q131983462	0	Banjara script	https://www.wikidata.org/wiki/Q131983462
Q131983465	0	Bhotiya script	https://www.wikidata.org/wiki/Q131983465
Q131983470	0	Dakini script	https://www.wikidata.org/wiki/Q131983470
Q131983476	0	Hoysala script	https://www.wikidata.org/wiki/Q131983476
Q131983477	0	Indo-Scythians script	https://www.wikidata.org/wiki/Q131983477
Q131983479	0	Karbi Mek'lek script	https://www.wikidata.org/wiki/Q131983479
Q131983485	0	Kosali script	https://www.wikidata.org/wiki/Q131983485
Q131983487	0	Kvemol alphabet	https://www.wikidata.org/wiki/Q131983487
Q131983491	0	Naga alphabet	https://www.wikidata.org/wiki/Q131983491
Q131983506	0	Sarahapada script	https://www.wikidata.org/wiki/Q131983506
Q131983507	0	Satavahana script	https://www.wikidata.org/wiki/Q131983507
Q131983509	0	Vartu script	https://www.wikidata.org/wiki/Q131983509
Q131983510	0	Vijayanagara script	https://www.wikidata.org/wiki/Q131983510
Q131994420	0	Bagoi alphabet	https://www.wikidata.org/wiki/Q131994420
Q131994422	0	Chalukya script	https://www.wikidata.org/wiki/Q131994422
Q131994423	0	Dhurwa script	https://www.wikidata.org/wiki/Q131994423
Q131994424	0	Golmol script	https://www.wikidata.org/wiki/Q131994424
